49.0,0.0,10.19,32.0
47.0,0.0,10.31,32.0
47.0,0.0,10.17,30.0
46.0,0.0,10.22,32.0
45.0,0.0,10.18,32.0
46.0,0.0,10.06,31.0
44.0,0.0,10.28,32.0
44.0,0.0,10.3,31.0
46.0,0.0,10.25,32.0
43.0,0.0,10.19,32.0
